Date,T_idx,N,D,S,I,R
2020-01-22,0,37799407,0,37799407,0,0
2020-01-23,1,37799407,0,37799407,0,0
2020-01-24,2,37799407,0,37799407,0,0
2020-01-25,3,37799407,0,37799407,0,0
2020-01-26,4,37799407,0,37799406,1,0
2020-01-27,5,37799407,0,37799406,1,0
2020-01-28,6,37799407,0,37799405,2,0
2020-01-29,7,37799407,0,37799405,2,0
2020-01-30,8,37799407,0,37799405,2,0
2020-01-31,9,37799407,0,37799403,4,0
2020-02-01,10,37799407,0,37799403,4,0
2020-02-02,11,37799407,0,37799403,4,0
2020-02-03,12,37799407,0,37799403,4,0
2020-02-04,13,37799407,0,37799403,4,0
2020-02-05,14,37799407,0,37799402,5,0
2020-02-06,15,37799407,0,37799402,5,0
2020-02-07,16,37799407,0,37799400,7,0
2020-02-08,17,37799407,0,37799400,7,0
2020-02-09,18,37799407,0,37799400,7,0
2020-02-10,19,37799407,0,37799400,7,0
2020-02-11,20,37799407,0,37799400,7,0
2020-02-12,21,37799407,0,37799400,7,0
2020-02-13,22,37799407,0,37799400,7,0
2020-02-14,23,37799407,0,37799400,7,0
2020-02-15,24,37799407,0,37799400,7,0
2020-02-16,25,37799407,0,37799400,7,0
2020-02-17,26,37799407,0,37799399,8,0
2020-02-18,27,37799407,0,37799399,8,0
2020-02-19,28,37799407,0,37799399,8,0
2020-02-20,29,37799407,0,37799399,8,0
2020-02-21,30,37799407,0,37799398,9,0
2020-02-22,31,37799407,0,37799398,9,0
2020-02-23,32,37799407,0,37799398,9,0
2020-02-24,33,37799407,0,37799397,10,0
2020-02-25,34,37799407,0,37799396,11,0
2020-02-26,35,37799407,0,37799396,11,0
2020-02-27,36,37799407,0,37799394,13,0
2020-02-28,37,37799407,0,37799393,14,0
2020-02-29,38,37799407,0,37799387,20,0
2020-03-01,39,37799407,0,37799383,24,0
2020-03-02,40,37799407,0,37799380,27,0
2020-03-03,41,37799407,0,37799377,30,0
2020-03-04,42,37799407,0,37799374,33,0
2020-03-05,43,37799407,0,37799370,37,0
2020-03-06,44,37799407,0,37799358,49,0
2020-03-07,45,37799407,0,37799353,54,0
2020-03-08,46,37799407,0,37799343,64,0
2020-03-09,47,37799407,1,37799330,76,1
2020-03-10,48,37799407,1,37799328,78,1
2020-03-11,49,37799407,1,37799299,107,1
2020-03-12,50,37799407,1,37799290,116,1
2020-03-13,51,37799407,1,37799216,190,1
2020-03-14,52,37799407,1,37799211,195,1
2020-03-15,53,37799407,1,37799157,249,1
2020-03-16,54,37799407,4,37798994,409,4
2020-03-17,55,37799407,5,37798937,465,5
2020-03-18,56,37799407,8,37798759,640,8
2020-03-19,57,37799407,9,37798616,782,9
2020-03-20,58,37799407,12,37798474,921,12
2020-03-21,59,37799407,19,37798140,1248,19
2020-03-22,60,37799407,20,37797951,1436,20
2020-03-23,61,37799407,24,37797332,2051,24
2020-03-24,62,37799407,25,37796630,2752,25
2020-03-25,63,37799407,29,37796169,3209,29
2020-03-26,64,37799407,37,37795378,3992,37
2020-03-27,65,37799407,53,37794738,4616,53
2020-03-28,66,37799407,60,37793844,5503,60
2020-03-29,67,37799407,63,37793140,6204,63
2020-03-30,68,37799407,79,37792022,7306,79
2020-03-31,69,37799407,100,37790893,8414,100
2020-04-01,70,37799407,108,37789860,9439,108
2020-04-02,71,37799407,138,37788136,11133,138
2020-04-03,72,37799407,178,37786983,12246,178
2020-04-04,73,37799407,217,37786442,12748,217
2020-04-05,74,37799407,258,37783664,15485,258
2020-04-06,75,37799407,338,37782857,16212,338
2020-04-07,76,37799407,374,37781548,17485,374
2020-04-08,77,37799407,406,37780279,18722,406
2020-04-09,78,37799407,502,37778766,20139,502
2020-04-10,79,37799407,556,37777361,21490,556
2020-04-11,80,37799407,653,37776104,22650,653
2020-04-12,81,37799407,713,37775121,23573,713
2020-04-13,82,37799407,780,37773740,24887,780
2020-04-14,83,37799407,900,37772385,26122,900
2020-04-15,84,37799407,1007,37771211,27189,1007
2020-04-16,85,37799407,1258,37768611,29538,1258
2020-04-17,86,37799407,1355,37766606,31446,1355
2020-04-18,87,37799407,1400,37765064,32943,1400
2020-04-19,88,37799407,1564,37763787,34056,1564
2020-04-20,89,37799407,1726,37761762,35919,1726
2020-04-21,90,37799407,1909,37760018,37480,1909
2020-04-22,91,37799407,2077,37757757,39573,2077
2020-04-23,92,37799407,2240,37756121,41046,2240
2020-04-24,93,37799407,2401,37754501,42505,2401
2020-04-25,94,37799407,2570,37753049,43788,2570
2020-04-26,95,37799407,2686,37751387,45334,2686
2020-04-27,96,37799407,2840,37749804,46763,2840
2020-04-28,97,37799407,2982,37748270,48155,2982
2020-04-29,98,37799407,3154,37746555,49698,3154
2020-04-30,99,37799407,3309,37744963,51135,3309
2020-05-01,100,37799407,3536,37743078,52793,3536
2020-05-02,101,37799407,3683,37741495,54229,3683
2020-05-03,102,37799407,3794,37738917,56696,3794
2020-05-04,103,37799407,4002,37737464,57941,4002
2020-05-05,104,37799407,4189,37736206,59012,4189
2020-05-06,105,37799407,4365,37734727,60315,4365
2020-05-07,106,37799407,4540,37733220,61647,4540
2020-05-08,107,37799407,4696,37731747,62964,4696
2020-05-09,108,37799407,4822,37730503,64082,4822
2020-05-10,109,37799407,4990,37729330,65087,4990
2020-05-11,110,37799407,5114,37728157,66136,5114
2020-05-12,111,37799407,5299,37727002,67106,5299
2020-05-13,112,37799407,5424,37725853,68130,5424
2020-05-14,113,37799407,5591,37724640,69176,5591
2020-05-15,114,37799407,5678,37723462,70267,5678
2020-05-16,115,37799407,5799,37722215,71393,5799
2020-05-17,116,37799407,5902,37721089,72416,5902
2020-05-18,117,37799407,5959,37720010,73438,5959
2020-05-19,118,37799407,6027,37718928,74452,6027
2020-05-20,119,37799407,6149,37717846,75412,6149
2020-05-21,120,37799407,6266,37716679,76462,6266
2020-05-22,121,37799407,6359,37715474,77574,6359
2020-05-23,122,37799407,6465,37714270,78672,6465
2020-05-24,123,37799407,6533,37713315,79559,6533
2020-05-25,124,37799407,6654,37712302,80451,6654
2020-05-26,125,37799407,6752,37711331,81324,6752
2020-05-27,126,37799407,6875,37710432,82100,6875
2020-05-28,127,37799407,6981,37709445,82981,6981
2020-05-29,128,37799407,7062,37708512,83833,7062
2020-05-30,129,37799407,7158,37707740,84509,7158
2020-05-31,130,37799407,7373,37706942,85092,7373
